ano,pais,electricidad,poblacion,cultivos,desempleo,hambre
YR2015,Paraguay,99.331532,15.5498363956708,12.2527057639064,4.56,7.4
YR2015,Peru,93.852179,23.99364296875,3.25580703125,3.27,5.9
YR2015,Bolivia,91.522822,10.2373165328164,4.15843755192468,3.11,14.3
YR2016,United States,100.0,35.3183471405052,17.1841896403576,4.87,2.5
YR2016,Canada,100.0,4.02756394169263,4.29754204687031,7.0,2.5
YR2016,Chile,100.0,24.3215880419404,1.74294583151768,6.73,3.1
YR2016,Argentina,99.8997421264648,15.9281350828921,14.6755752387008,8.109,2.6
YR2016,Uruguay,99.7,19.5050051422695,12.7202605416524,7.84,2.5
YR2016,Brazil,99.7,24.7494751224555,6.59716156944009,11.74,2.5
YR2016,Costa Rica,99.5,96.8508617312965,4.9647473560517,8.09,3.6
YR2016,Mexico,99.5,62.5114951516243,11.1880449600041,3.86,5.8
"YR2016,""Venezuela, RB"",99.4,34.8522918201916,2.94767870302137,5.32,16.4"
YR2016,Ecuador,98.7,66.1925632146883,3.92977935255275,4.6,9.7
YR2016,Colombia,98.4,42.9256016223524,1.47363677332132,8.69,6.0
YR2016,Paraguay,98.4,15.7730052856783,11.7392398691165,5.25,7.7
YR2016,Peru,94.2,24.32248359375,2.967321875,3.74,6.9
YR2016,Bolivia,91.8,10.3969491368965,4.18926530047078,3.5,13.1
YR2017,United States,100.0,35.5424948236771,17.2438567377468,4.36,2.5
YR2017,Canada,100.0,4.07616632034255,4.29519975818658,6.34,2.5
YR2017,Chile,99.7,24.7044875002017,1.74831614510203,6.95,2.9
YR2017,Argentina,100.0,16.0941907925267,14.7572066986031,8.35,3.1
YR2017,Uruguay,99.8,19.5531939206948,12.4780025139984,7.89,2.5
YR2017,Brazil,99.8,24.9463349501205,6.67158004053533,12.93,2.5
YR2017,Costa Rica,99.6,97.8034077555817,4.95495495495495,7.73,3.2
YR2017,Mexico,100.0,63.1905439954731,10.4205355076005,3.42,6.1
"YR2017,""Venezuela, RB"",99.2,34.6504540558925,2.94767870302137,5.05,22.2"
YR2017,Ecuador,99.2,67.2287969077146,4.15928490900306,3.84,10.7
YR2017,Colombia,98.5,43.5796944569626,1.60522757999099,8.87,5.9
YR2017,Paraguay,99.3,15.9964862824062,11.7115529826328,4.61,7.8
YR2017,Peru,94.8,24.6917859375,2.93501953125,3.69,7.6
YR2017,Bolivia,91.8,10.5562014215822,4.08432244069048,3.65,12.5
YR2018,United States,100.0,35.7300964643583,17.2438567377468,3.9,2.5
YR2018,Canada,100.0,4.1341488959455,4.31538805588924,5.83,2.5
YR2018,Chile,100.0,25.1521790588704,1.75368511375435,7.21,2.7
YR2018,Argentina,99.9937362670898,16.2585100979651,14.6924787608388,9.22,3.4
YR2018,Uruguay,99.8,19.5808593303622,12.2945949034396,8.34,2.5
YR2018,Brazil,99.7,25.1451389902538,6.74611815547478,12.46,2.5
YR2018,Costa Rica,99.7,98.7217783000392,4.94516255385821,9.01,3.2
YR2018,Mexico,99.5,63.7947791867075,10.2368888088685,3.27,6.0
"YR2018,""Venezuela, RB"",99.8781967163086,33.8140162122329,2.94767870302137,5.02,22.7"
YR2018,Ecuador,98.7,68.5121275567724,3.89756804638428,3.53,11.6
